ID,REF,MARQUE,NOM,VERSION,CLASSE,KV,POIDS,H STATOR,D STATOR,H MOTEUR,D MOTEUR,D SHAFT,L SHAFT,TYPE SHAFT,VIS HEL,VIS FIX,ENTRAXE FIX,LIPO,VOLTAGE,L CABLE,TYPE CABLE,HELICE,PUISSANCE,AMP,AIMANT,CLOCHE,CONFIG,LIEN,IMG
41,RCIN-2807-1400,RCinPower,AOS Supernova 2807,Supernova,2807,1400,47,7,28,35.3,32.9,4,,Creux,,,,4S-6S,14.8-22.2V,,,,960,40,,,12N14P,https://pyrodrone.com/products/rcinpower-aos-supernova-2807-1400kv-brushless-fpv-drone-motor,https://pyrodrone.com/cdn/shop/files/1-3_1_1200x1200_26ec9c9d-7a26-4607-aafa-42062cf66788_700x700.webp?v=1711163534
42,RCIN-2207-1920,RCinPower,Vanover V3 2207,V3,2207,1920,31,7,22,18.8,28.1,4,,Creux,,,,5S-6S,18.5-22.2V,,,,1340,55.8,,,12N14P,https://pyrodrone.com/products/rcinpower-vanover-v3-2207-brushless-fpv-drone-motor-1920kv,https://pyrodrone.com/cdn/shop/files/VanoverV3Motor_700x700.jpg?v=1735430818
43,EMAX-2207-2500,Emax,RSIII 2207,RSIII,2207,2500,29.4,7,22,33,26.9,4,,Plein (titane),M5,M3,16x16,3S-4S,11.1-14.8V,120mm,20AWG,"5""-5.5""",750,45,,,12N14P,https://pyrodrone.com/products/emax-rsiii-2207-2500kv-fpv-racing-motor,https://pyrodrone.com/cdn/shop/files/DSC0241_cd03b8e0-d60e-46e3-8ba3-d4379043bcbe_700x700.webp?v=1694806828
44,RCIN-2207-2060,RCinPower,Vanover V3 2207,V3,2207,2060,31,7,22,18.8,28.1,4,,Creux,,,,5S-6S,18.5-22.2V,,,,1428,59.5,,,12N14P,https://pyrodrone.com/products/rcinpower-vanover-v3-2207-brushless-fpv-drone-motor-2060kv,https://pyrodrone.com/cdn/shop/files/VanoverV3Motor_700x700.jpg?v=1735430818
45,BETA-1103-15000,BetaFPV,1103 Brushless Motor,,1103,15000,3.7,3,11,14,,1.5,,Lisse,,M1.6,Ø8.5,1S,3.7V,45mm,,40mm 4 pales,,,N48H,,,https://betafpv.com/products/1103-brushless-motors,https://betafpv.com/cdn/shop/products/1_1a77febc-1122-4ff1-8a41-0370f0416580_800x.jpg?v=1568718208
46,BETA-1103-11000,BetaFPV,1103 Brushless Motor,,1103,11000,3.3,3,11,14,,1.5,,Lisse,,M1.6,Ø8.5,2S,7.4V,32mm,,40mm 4 pales,,,N48H,,,https://betafpv.com/products/1103-brushless-motors,https://betafpv.com/cdn/shop/products/1_1a77febc-1122-4ff1-8a41-0370f0416580_800x.jpg?v=1568718208
47,BETA-1103-8000,BetaFPV,1103 Brushless Motor,,1103,8000,3.8,3,11,14,,1.5,,Lisse,,M1.6,Ø8.5,3S,11.1V,35mm / 55mm,,40mm 4 pales,,,N48H,,,https://betafpv.com/products/1103-brushless-motors,https://betafpv.com/cdn/shop/products/1_1a77febc-1122-4ff1-8a41-0370f0416580_800x.jpg?v=1568718208
48,BETA-1103-8500,BetaFPV,1103 Brushless Motor,,1103,8500,,3,11,14,,1.5,,Lisse,,M1.6,Ø8.5,,,,,40mm 4 pales,,,N48H,,,https://betafpv.com/products/1103-brushless-motors,https://betafpv.com/cdn/shop/products/1_1a77febc-1122-4ff1-8a41-0370f0416580_800x.jpg?v=1568718208
49,FLYF-2207-1850,FlyFishRC,Flash 2207,Flash,2207,1850,32.2,6,23,,,5,,,M5,,16x16,6S,22.2V,,,,,,,,12N14P,https://www.racedayquads.com/products/flyfishrc-flash-2207-1850kv-motor,https://www.racedayquads.com/cdn/shop/products/flyfish-flyfishrc-flash-2207-1850kv-motor-motor-30468258365553.webp?v=1762442200&width=1200
50,EMAX-2207-1700,Emax,E3 2207,E3,2207,1700,31.9,7,22,32.8,28.6,4,,,,,19x19,3S-6S,11.1-22.2V,120mm,20AWG,"5""-5.5""",1050,42,,,12N14P,https://www.racedayquads.com/products/emax-e3-series-2207-motor-1700kv-1900kv-2400kv,https://www.racedayquads.com/cdn/shop/files/emax-e3-series-2207-motor-1700kv-1900kv-2400kv-motor-1157042065.jpg?v=1745152472&width=1200
51,IFLI-2806-1300,iFlight,XING 2806.5,XING,2806,1300,49.5,6.5,28,21.3,35.06,5,15.5,,M5,M3,19x19,6S,22.2V,265mm,18AWG,,1132.9,48.33,N52H,,12N14P,https://www.racedayquads.com/products/iflight-xing-2806-5-race-motor-1300kv-1800kv,https://www.racedayquads.com/cdn/shop/files/iflight-xing-2806-5-race-motor-1300kv-1800kv-motor-1157041767.jpg?v=1745147687&width=1200
52,IFLI-2806-1800,iFlight,XING 2806.5,XING,2806,1800,53.3,6.5,28,21.3,35.06,5,15.5,,M5,M3,19x19,6S,22.2V,265mm,18AWG,,1681,72.3,N52H,,12N14P,https://www.racedayquads.com/products/iflight-xing-2806-5-race-motor-1300kv-1800kv,https://www.racedayquads.com/cdn/shop/files/iflight-xing-2806-5-race-motor-1300kv-1800kv-motor-1157041767.jpg?v=1745147687&width=1200
53,IFLI-2207-1590,iFlight,R5 2207,R5,2207,1590,33.8,7,22,19,28.2,5,12.5,,M5,M3,16x16,,,150mm,20AWG,,1221.6,38.62,N52H,,12N14P,https://www.racedayquads.com/products/iflight-r5-2207-motor-1590kv-2050kv,https://www.racedayquads.com/cdn/shop/files/iflight-r5-2207-motor-1590kv-2050kv-motor-1157041762.jpg?v=1745147671&width=1200
54,IFLI-2207-2050,iFlight,R5 2207,R5,2207,2050,34.6,7,22,19,28.2,5,12.5,,M5,M3,16x16,6S,22.2V,150mm,20AWG,,1166.4,49.53,N52H,,12N14P,https://www.racedayquads.com/products/iflight-r5-2207-motor-1590kv-2050kv,https://www.racedayquads.com/cdn/shop/files/iflight-r5-2207-motor-1590kv-2050kv-motor-1157041762.jpg?v=1745147671&width=1200
55,AMAX-2306-1950,AMAX,Competition 2306,Competition,2306,1950,33.5,6,23,,,5,,,M5,M3,16x16,,,150mm,,,,,,,12N14P,https://www.racedayquads.com/products/amaxinno-competition-2306-1950kv-motor-1,https://www.racedayquads.com/cdn/shop/files/amax-amax-competition-2306-1950kv-motor-motor-30961584341105.jpg?v=1736995906&width=1200
56,EMAX-2004-1600,Emax,ECO II 2004,ECO II,2004,1600,16.6,4,20,19.2,24.7,1.5,,T-Mount,,M2,12x12,4S-6S,14.8-22.2V,120mm,24AWG,,,,N52SH,,12N14P,https://pyrodrone.com/products/emax-eco-ii-2004-brushless-motor-1600kv,https://pyrodrone.com/cdn/shop/products/3000KV_4_700x700.jpg?v=1638834655
57,EMAX-1404-3700,Emax,ECO Micro 1404,ECO Micro,1404,3700,8.6,4,14,19.75,18.8,1.5,,,,,,,,,,"2.5""-4""",,,,,9N12P,https://pyrodrone.com/products/emax-eco-micro-series-brushless-motor-1404-3700kv,https://pyrodrone.com/cdn/shop/products/photo-3202_560x560.png?v=1583450272
